zona_id,I03,nombre_cne,tipo_cne
84-012,84,Tumbaco,RURAL
84-013,84,Tumbaco,RURAL
84-014,84,Tumbaco,RURAL
84-015,84,Tumbaco,RURAL
84-999,84,Tumbaco,RURAL
85-001,85,Yaruqui,RURAL
85-002,85,Yaruqui,RURAL
85-003,85,Yaruqui,RURAL
85-999,85,Yaruqui,RURAL
86-001,86,Zambiza,RURAL
86-906,86,Zambiza,RURAL
86-999,86,Zambiza,RURAL
